glyph-name,unicode
account,&#x1;
add,&#x2;
arrow-down,&#x3;
arrow-up,&#x4;
bug,&#x5;
check,&#x6;
chevron-down,&#x7;
chevron-left,&#x8;
chevron-right,&#x9;
chevron-up,&#xA;
close,&#xB;
cloud-download,&#xC;
collapse-all,&#xD;
comment-discussion,&#xE;
debug,&#xF;
edit,&#x10;
editor-layout,&#x11;
extensions,&#x12;
files,&#x13;
filter,&#x14;
gear,&#x15;
info,&#x16;
layout-panel-off,&#x17;
layout-panel,&#x18;
layout-sidebar-left-off,&#x19;
layout-sidebar-left,&#x1A;
layout-sidebar-right-off,&#x1B;
layout-sidebar-right,&#x1C;
light-bulb,&#x1D;
new-file,&#x1E;
new-folder,&#x1F;
pencil,&#x20;
primitive-square,&#x21;
refresh,&#x22;
save-all,&#x23;
save,&#x24;
search,&#x25;
selection,&#x26;
setting-gear,&#x27;
split-horizontal,&#x28;
split-vertical,&#x29;
star-empty,&#x2A;
star-full,&#x2B;
star-half,&#x2C;
star,&#x2D;
sync-ignored,&#x2E;
sync,&#x2F;
terminal,&#x30;
trash,&#x31;
warning,&#x32;
